first_active_month,card_id,feature_1,feature_2,feature_3,target,hist_month_nunique,hist_hour_nunique,hist_weekofyear_nunique,hist_dayofweek_nunique,hist_year_nunique,hist_subsector_id_nunique,hist_merchant_id_nunique,hist_merchant_category_id_nunique,hist_purchase_amount_sum,hist_purchase_amount_max,hist_purchase_amount_min,hist_purchase_amount_mean,hist_purchase_amount_var,hist_installments_sum,hist_installments_max,hist_installments_min,hist_installments_mean,hist_installments_var,hist_purchase_date_max,hist_purchase_date_min,hist_month_lag_max,hist_month_lag_min,hist_month_lag_mean,hist_month_lag_var,hist_month_diff_mean,hist_authorized_flag_sum,hist_authorized_flag_mean,hist_weekend_sum,hist_weekend_mean,hist_category_1_sum,hist_category_1_mean,hist_card_id_size,hist_category_2_mean_mean,hist_category_3_mean_mean,hist_purchase_date_diff,hist_purchase_date_average,hist_purchase_date_uptonow,new_hist_month_nunique,new_hist_hour_nunique,new_hist_weekofyear_nunique,new_hist_dayofweek_nunique,new_hist_year_nunique,new_hist_subsector_id_nunique,new_hist_merchant_id_nunique,new_hist_merchant_category_id_nunique,new_hist_purchase_amount_sum,new_hist_purchase_amount_max,new_hist_purchase_amount_min,new_hist_purchase_amount_mean,new_hist_purchase_amount_var,new_hist_installments_sum,new_hist_installments_max,new_hist_installments_min,new_hist_installments_mean,new_hist_installments_var,new_hist_purchase_date_max,new_hist_purchase_date_min,new_hist_month_lag_max,new_hist_month_lag_min,new_hist_month_lag_mean,new_hist_month_lag_var,new_hist_month_diff_mean,new_hist_weekend_sum,new_hist_weekend_mean,new_hist_category_1_sum,new_hist_category_1_mean,new_hist_card_id_size,new_hist_category_2_mean_mean,new_hist_category_3_mean_mean,new_hist_purchase_date_diff,new_hist_purchase_date_average,new_hist_purchase_date_uptonow,outliers,dayofweek,weekofyear,month,elapsed_time,hist_first_buy,new_hist_first_buy,card_id_total,purchase_amount_total
2017-06-01,C_ID_92a2005557,0.013144615384615385,0.008752121220219405,0.011427520622077443,-0.8202825999999999,9,23,35,7,2,21,94,41,-165.96873942000005,2.25839456,-0.73939454,-0.6383413054615387,0.04500311966996153,4,1,0,0.015384615384615384,0.015206415206415209,1519551075.0,1498573088.0,0,-8,-3.911538461538461,5.748901098901098,10.819230769230769,247,0.95,90,0.3461538461538461,0,0.0,260,0.07250222765752334,0.3467192204628089,242,0.9307692307692308,328,2.0,8.0,7.0,7.0,1.0,10.0,23.0,14.0,-13.24420221,-0.29611244,-0.72436803,-0.5758348786956522,0.018444775527898003,0.0,0.0,0.0,0.0,0.0,1525000985.0,1520258676.0,2.0,1.0,1.4782608695652173,0.26086956521739124,10.695652173913043,6.0,0.2608695652173913,0.0,0.0,23.0,-0.5501600509903694,-0.5929929784942302,54.0,2.347826086956522,265.0,0,3,22,6,597,26,277.0,283.0,-179.21294163000005
2017-01-01,C_ID_3d0044924f,0.010711591651998994,0.011384773985343223,0.01028283496163887,0.39291325,12,24,50,7,2,24,142,57,-210.00633633000007,4.6302994,-0.74239984,-0.6000181038000002,0.148199793561133,543,10,-1,1.5514285714285714,2.282447810069586,1517437869.0,1483720182.0,0,-12,-5.031428571428571,14.4775194433074,11.854285714285714,339,0.9685714285714284,132,0.3771428571428572,31,0.08857142857142856,350,0.07456789630535006,-0.29516269636000114,390,1.1142857142857143,352,2.0,5.0,4.0,4.0,1.0,4.0,6.0,5.0,-4.3557349699999985,-0.70185831,-0.73940957,-0.7259558283333333,0.0002052356853605768,6.0,1.0,1.0,1.0,0.0,1522392506.0,1517504874.0,2.0,1.0,1.5,0.30000000000000004,11.833333333333336,0.0,0.0,0.0,0.0,6.0,-0.5501600509903694,-0.6064861140464674,56.0,9.333333333333334,295.0,0,6,52,1,748,5,396.0,356.0,-214.36207130000003
2016-08-01,C_ID_d639edf6cd,0.010609889420578169,0.008752121220219405,0.01028283496163887,0.68805599,10,14,22,7,2,7,13,8,-29.16739109,-0.14584732,-0.73013821,-0.6783114206976744,0.007635333198816371,0,0,0,0.0,0.0,1519758505.0,1484122882.0,0,-13,-8.604651162790697,14.768549280177185,10.83720930232558,41,0.9534883720930232,11,0.2558139534883721,0,0.0,43,-0.08780326717498481,0.3584578991315461,412,9.581395348837207,325,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.70032561,-0.70032561,-0.70032561,-0.70032561,,0.0,0.0,0.0,0.0,,1524937391.0,1524937391.0,2.0,2.0,2.0,,10.0,1.0,1.0,0.0,0.0,1.0,-0.5490149154620435,-0.5929929784942299,0.0,0.0,266.0,0,0,31,8,901,163,635.0,44.0,-29.867716700000003
2017-09-01,C_ID_186d6a6901,0.010711591651998994,0.014166402368115024,0.01028283496163887,0.14249520000000002,6,16,20,7,2,13,50,25,-49.49136434999999,1.44559551,-0.74089719,-0.6427449915584414,0.06844727844271929,84,3,-1,1.0909090909090908,0.3468899521531101,1519818280.0,1506442941.0,0,-5,-2.831168831168831,3.247436773752563,10.779220779220779,77,1.0,11,0.14285714285714285,12,0.15584415584415584,77,-0.08616575833012231,-0.33832137418616265,154,2.0,325,2.0,5.0,5.0,4.0,1.0,5.0,7.0,6.0,-4.65437186,-0.56673992,-0.73413526,-0.6649102657142857,0.004340408741683164,5.0,1.0,-1.0,0.7142857142857143,0.5714285714285715,1524049211.0,1520423706.0,2.0,1.0,1.7142857142857142,0.2380952380952381,11.0,3.0,0.42857142857142855,1.0,0.14285714285714285,7.0,-0.5565183236075179,-0.6045585232532905,41.0,5.857142857142858,276.0,0,4,35,9,505,25,187.0,84.0,-54.14573620999999
2017-11-01,C_ID_cdbd2c0db2,0.008058486333804104,0.014166402368115024,0.01028283496163887,-0.15974919,4,22,17,7,2,17,66,26,-48.68765632,7.19304093,-0.74615647,-0.3660726039097745,1.828159536680452,182,12,1,1.368421052631579,3.598086124401915,1519850441.0,1510444800.0,0,-3,-1.2857142857142858,1.054112554112554,10.751879699248118,128,0.962406015037594,42,0.3157894736842105,15,0.11278195488721805,133,-0.11464658591870153,-0.37768362437677133,108,0.8120300751879699,324,2.0,14.0,8.0,7.0,1.0,10.0,36.0,17.0,-19.926236549999995,0.45088551,-0.73939454,-0.5535065708333332,0.05009578900781897,35.0,2.0,-1.0,0.9722222222222222,0.1420634920634921,1524941425.0,1519991743.0,2.0,1.0,1.5555555555555556,0.2539682539682539,10.833333333333336,12.0,0.3333333333333333,2.0,0.05555555555555555,36.0,-0.5554459394635957,-0.5882170236269336,57.0,1.5833333333333333,265.0,0,2,44,11,444,11,121.0,169.0,-68.61389287
2016-09-01,C_ID_0894217f2f,0.010711591651998994,0.008752121220219405,0.01028283496163887,0.87158529,7,13,16,6,1,8,22,14,-13.776230870000004,0.03371949,-0.67928849,-0.4174615415151516,0.033104808136214074,99,10,1,3.0,3.875,1501342638.0,1484068493.0,0,-6,-2.5454545454545454,4.130681818181818,17.96969696969697,32,0.9696969696969696,10,0.30303030303030304,1,0.030303030303030307,33,0.06914290793732056,-0.017753783098911596,199,6.03030303030303,539,2.0,4.0,3.0,3.0,1.0,4.0,4.0,4.0,-1.40006519,-9.016e-05,-0.65449475,-0.3500162975,0.07859701170260369,11.0,5.0,1.0,2.75,2.9166666666666665,1505509577.0,1502792275.0,2.0,1.0,1.75,0.25,18.0,0.0,0.0,0.0,0.0,4.0,-0.5501600509903695,-0.12334052438323025,31.0,7.75,490.0,0,3,35,9,870,131,348.0,37.0,-15.176296060000002
2016-12-01,C_ID_7e63323c00,0.010479387818900955,0.008752121220219405,0.011427520622077443,0.23012899,12,16,48,7,2,12,63,23,-185.4215807500001,-0.55072166,-0.74212936,-0.7131599259615387,0.0009176539331980267,0,0,0,0.0,0.0,1519402172.0,1483618764.0,0,-13,-6.646153846153847,17.874309474309467,10.95,243,0.9346153846153846,19,0.07307692307692308,0,0.0,260,-0.10376816362369268,0.35845789913154713,414,1.5923076923076922,330,2.0,3.0,3.0,3.0,1.0,4.0,5.0,5.0,-3.60260621,-0.68834948,-0.74202418,-0.720521242,0.0003843996097882219,0.0,0.0,0.0,0.0,0.0,1523037145.0,1520339834.0,2.0,1.0,1.2,0.2,11.0,0.0,0.0,0.0,0.0,5.0,-0.5490149154620435,-0.5929929784942299,31.0,6.2,288.0,0,3,48,12,779,35,460.0,265.0,-189.02418696000007
2017-09-01,C_ID_dfa21fc124,0.010479387818900955,0.008752121220219405,0.011427520622077443,2.13584976,4,9,8,7,1,6,9,7,-13.56584466,-0.05568825,-0.74540514,-0.6166293027272727,0.03305284672739832,0,0,0,0.0,0.0,1513885482.0,1506633886.0,0,-3,-1.7272727272727273,0.9696969696969696,12.545454545454545,19,0.8636363636363636,4,0.18181818181818185,0,0.0,22,-0.09526388972458304,0.35845789913154635,83,3.772727272727273,393,1.0,3.0,2.0,3.0,1.0,3.0,3.0,3.0,-2.09830211,-0.69732031,-0.70182826,-0.6994340366666667,5.139412085633118e-06,0.0,0.0,0.0,0.0,0.0,1518985637.0,1517900621.0,2.0,2.0,2.0,0.0,13.0,2.0,0.6666666666666666,0.0,0.0,3.0,-0.5551053741370404,-0.5929929784942299,12.0,4.0,334.0,0,4,35,9,505,27,158.0,25.0,-15.66414677
2017-08-01,C_ID_fe0fdac8ea,0.010609889420578169,0.011384773985343223,0.01028283496163887,-0.06540639,5,8,6,5,1,4,8,4,-8.70837448,-0.25142359999999997,-0.74615647,-0.5805582986666666,0.025819105792636514,16,2,1,1.0666666666666669,0.06666666666666668,1512824579.0,1503073298.0,-2,-6,-4.2,1.6000000000000008,11.0,11,0.7333333333333333,2,0.13333333333333333,4,0.26666666666666666,15,0.0745678963053504,-0.37051760038752896,112,7.466666666666668,406,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,-1.26315863,-0.58071457,-0.68244406,-0.631579315,0.005174444567830053,2.0,1.0,1.0,1.0,0.0,1521580982.0,1521296551.0,1.0,1.0,1.0,0.0,11.0,1.0,0.5,0.0,0.0,2.0,-0.5501600509903695,-0.6064861140464674,3.0,1.5,304.0,0,1,31,8,536,17,228.0,17.0,-9.97153311
2016-08-01,C_ID_bf62c0b49d,0.010609889420578169,0.008752121220219405,0.01028283496163887,0.30006168,12,14,33,7,2,13,59,29,-76.99712368000003,-0.37133516,-0.74330143,-0.6813904750442481,0.0071529244401111435,3,1,0,0.02654867256637168,0.02607458912768648,1519836577.0,1483977556.0,0,-13,-5.876106194690267,17.466656131479134,10.858407079646016,99,0.8761061946902655,13,0.11504424778761063,0,0.0,113,0.07298360766689901,0.3382008872695646,415,3.672566371681416,325,1.0,3.0,2.0,1.0,1.0,2.0,3.0,3.0,-2.14034629,-0.66621543,-0.74164852,-0.7134487633333334,0.0016942455472814312,0.0,0.0,0.0,0.0,0.0,1523195581.0,1522574526.0,2.0,2.0,2.0,0.0,11.0,3.0,1.0,0.0,0.0,3.0,-0.5501600509903695,-0.5929929784942299,7.0,2.333333333333333,286.0,0,0,31,8,901,161,608.0,116.0,-79.13746997000003
